,ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag,Zeit,LABEL
16,0.3689172941846484,1.1003113,8.834564,0.0155339213232825,-34.55952413246568,221,151.92863597505814,0.0269167346086383,0.1127395715896279,1,02:10,Werbung
17,0.345714851223857,-2.0941467,11.439972,0.0120548112430188,-36.05573959028975,20,143.41533057361497,0.028212821678388,0.1109877913429522,1,02:10,Werbung
18,0.7566513114599981,-50.823837,2538.826,0.0281685842463454,-38.37679171030477,1,122.34999457384284,0.0635009613684137,0.1142857142857142,1,02:10,Werbung
19,0.3638243865751622,86.10038,399.77347,0.0274971770378734,-31.00469960231574,63,153.49473251866723,0.0325316290972447,0.1314060446780552,1,02:10,Werbung
20,0.27045149754135,92.18971,145.46935,0.0133671071504867,-31.21423780325272,68,157.04250531320378,0.0173713512964466,0.1156069364161849,1,02:10,Werbung
21,0.2092534644613321,-4.1606445,9.620758,0.0111392559587389,-37.61918821961935,51,142.64290978813406,0.0146202031922852,0.1108647450110864,1,02:10,Werbung
22,0.1573715171690455,-2.4613953,11.383759,0.0254524369029816,-39.06287633370448,21,137.04663358741726,0.0116750396442302,0.1114827201783723,1,02:10,Werbung
23,0.1574211502782931,-2.7360535,12.145355,0.0127872554704428,-31.885412610079204,10,141.21729226697636,0.0106310115480636,0.1108647450110864,1,02:10,Werbung
24,0.1624445851804939,0.7133789,13.448242,0.0141911069063386,-40.28754837847895,27,137.1834020568971,0.0104128704354831,0.106951871657754,1,02:10,Werbung
25,0.1403524627202892,0.4448352,6.643169,0.0234382152775658,-36.9596745650349,12,132.07517123327477,0.0084178393731719,0.1091703056768559,1,02:10,Werbung
26,0.1729110452514707,0.015034676,6.322713,0.0420239875484481,-32.61282634385436,9,130.30013108684446,0.0082991697499893,0.1117318435754189,1,02:10,Werbung
27,0.8765018643833724,-514.66516,739.8176,0.0306405835139011,-28.696203884397864,66,173.7311025801216,0.0622348304463905,0.111358574610245,1,02:10,Werbung
28,0.2234499878905304,24.559807,32.64702,0.0387585070345164,-30.274059366653965,89,170.6624749521263,0.0064150856466491,0.0553097345132743,1,02:10,Werbung
30,0.2961066726679419,219.91626,251.45203,0.0226447340311899,-29.87667930226913,61,168.3701820053336,0.0190576466715774,0.086281276962899,1,02:10,Werbung
31,0.8846859903381642,-612.1991,2631.7422,0.032013916440321,-32.90065551725344,121,165.38233234294563,0.0441122755606978,0.0914076782449725,1,02:10,Werbung
32,0.2085329274298249,0.5046158,18.15524,0.0278939176610614,-30.81849976808741,61,165.8581462770583,0.0076839932313751,0.0614628149969268,1,02:10,Werbung
33,0.9217441912521824,-1207.546,4543.832,0.0310373241370891,-31.13745595839463,81,166.08239298552814,0.0435193789815342,0.0619578686493184,1,02:10,Werbung
34,0.6772879383093263,-56.55575,484.9245,0.0184331797235023,-30.162314564379088,58,161.77649698177956,0.0241999149028432,0.2890173410404624,1,02:10,Werbung
35,0.6278190018914593,-29.975464,46.013306,0.0416272469252601,-34.308146437951294,49,153.8002685058364,0.0210461783077421,0.2392344497607655,1,02:10,Werbung
36,0.9271686825334894,-808.275,2350.2354,0.0377513962218085,-27.61244621642477,52,168.70686420693494,0.0470631235001516,0.2808988764044944,1,02:10,Werbung
37,0.6870854467420991,79.5072,257.35852,0.0378124332407605,-28.461339630251565,75,171.97564226640785,0.0259644082066461,0.3584229390681003,1,02:10,Werbung
38,0.6049275362318841,169.30553,241.82567,0.0567339091158787,-28.44730749531271,60,167.14754045616155,0.0233009326243193,0.3636363636363636,1,02:10,Werbung
