Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17
13940;[[ True]];[[0.29738504]];[[ True]];[[0.7431347]];0.0;-0.005695343;0.013507843;0;88.95920138888889;78;154.9308049344863;0.0023313922988355534;8.333333333333334;3;15:28;PROGRAMM
13895;[[ True]];[[0.29835168]];[[ True]];[[0.7458848]];0.9017184757375007;-629.29663;2593.665;0;116.09592013888889;22;123.23303998014131;0.05668501469149804;0.023485204321277594;3;15:27;PROGRAMM
79;[[ True]];[[0.30955592]];[[ True]];[[0.7300843]];0.7050521618064959;-301.39642;2857.7666;0;133.25564236111111;432;16.864397929249858;0.03965277745405471;0.03361344537815126;3;13:24;PROGRAMM
524;[[ True]];[[0.31841913]];[[ True]];[[0.7133351]];0.07611468606023683;13.622019;17.985159;0;0;363;16.13012297874178;0.023021470485073563;0.03965107057890563;3;04:44;PROGRAMM
10605;[[ True]];[[0.31907803]];[[ True]];[[0.6824074]];0.609346914319952;-696.7539;1557.1462;0;135.12934027777777;43;130.4609397380724;0.040285154288454;0.04930966469428008;3;15:04;PROGRAMM
10463;[[ True]];[[0.3196112]];[[ True]];[[0.73847663]];0.7208430438747594;14.061268;30.544819;0;99.17361111111111;126;154.67013412611962;0.02536961325137335;0.1996007984031936;3;15:03;PROGRAMM
376;[[ True]];[[0.32734486]];[[ True]];[[0.6919924]];0.1841553504595066;4.875843;42.12312;0;0;134;80.06361869785975;0.01578187469687833;0.01579778830963665;3;04:42;PROGRAMM
10528;[[ True]];[[0.32751414]];[[ True]];[[0.691845]];0.18631213265738927;-9.586864;90.877945;0;125.01302083333333;23;143.747463050462;0.015693996762106217;0.017421602787456445;3;15:03;PROGRAMM
57787;[[ True]];[[0.33412033]];[[ True]];[[0.67152226]];0.0;0.0;0.0;0;149.67534722222223;34;154.71020689562081;0.0;0.022361359570661897;3;12:32;PROGRAMM
2649;[[ True]];[[0.33561337]];[[ True]];[[0.7056883]];0.455900317615441;18.83776;126.44434;0;149.796875;50;157.2015989601522;0.04604506091649807;0.09363295880149813;3;14:05;PROGRAMM
478;[[ True]];[[0.3460791]];[[ True]];[[0.714726]];0.23671575225505756;-36.862625;39.67682;0;0;363;16.13012297874178;0.032221780185668805;0.0881057268722467;3;04:44;PROGRAMM
94;[[ True]];[[0.34962934]];[[ True]];[[0.71049935]];0.6974118194870202;-4.9588356;27.136684;0;156.14105902777777;363;16.13012297874178;0.04375578141922736;0.1049317943336831;3;13:10;PROGRAMM
2706;[[ True]];[[0.3497556]];[[ True]];[[0.7046183]];0.27550523687640344;-29.346684;46.963078;0;150.80251736111111;34;111.26779037554367;0.02021812002012903;0.025087807325639738;3;14:05;PROGRAMM
1800;[[ True]];[[0.3500498]];[[ True]];[[0.31579778]];0.1807858981460363;40.203278;237.03824;0;92.98697916666667;37;145.30911008836605;0.013900913186891942;0.038789759503491075;3;13:58;PROGRAMM
144;[[ True]];[[0.35032552]];[[ True]];[[0.7040801]];0.2644923151397797;-31.603561;36.06874;0;151.42578125;403;16.54381532036455;0.017865330517496204;0.026420079260237782;3;13:24;PROGRAMM
